COMPASS CREDIT UNION,3
WEYBURN CREDIT UNION LIMITED,3
KINGSTON COMMUNITY CREDIT UNION LTD.,3
CAISSE POPULAIRE CHALEUR LTEE,3
CAISSE POPULAIRE ACADIE LTEE,3
CAISSE POPULAIRE KENT-CENTRE LTEE,3
C.P. DE STURGEON FALLS LTEE,3
CHRISTIAN CREDIT UNION LTD,3
HERITAGE CREDIT UNION,3
C.P. DE NORTH BAY LTEE,3
ACCESS CREDIT UNION,3
CHURCHBRIDGE CREDIT UNION,3
C.P. DE FIELD LTEE,3
C.P. DE NOELVILLE LTEE,3
CAISSE POPULAIRE KENT-SUD LTEE,3
ROSENORT CREDIT UNION LIMITED,3
STOUGHTON CREDIT UNION LIMITED,2
BAYVIEW CREDIT UNION,2
ACADIAN CREDIT UNION LTD.,2
Spark The Energy Credit Union Ltd.,2
EDUCATION CREDIT UNION LIMITED,2
PROVINCIAL CREDIT UNION LIMITED,2
CAPE BRETON CREDIT UNION,2
CAISSE POPULAIRE PATE ET PAPIER LTEE,2
HAMILTON MUNICIPAL EMPLYS CR UN LTD,2
C.P. DE BONFIELD LTEE,2
CAISSE POPULAIRE BEAUSEJOUR LTEE,2
COPPERFIN CREDIT UNION LIMITED,2
COPPERFIN  CREDIT UNION LTD,2
COMMUNITY FIRST A DIVISION,2
OMISTA CREDIT UNION,2
C.D. DE MONTCALM ET DE LA OUAREAU,2
C.D. DE LAC - MEGANTIC - LE GRANIT,2
FRONTLINE FINANCIAL CREDIT UNION LTD,2
CAISSE POPULAIRE DE HEARST LIMITEE,2
C.P. DE SAINT-NAZAIRE,2
C.D. DE SALABERRY-DE-VALLEYFIELD,2
CREDIT UNION CENTRAL ALBERTA LTD.,2
CAISSE POPULAIRE DES ILES LTEE,2
C.P. STE-GENEVIEVE,2
CAISSE POPULAIRE DE NEGUAC LTEE,2
PROGRESSIVE CREDIT UNION,2
C.P. DE MATTAWA LTEE,2
ROCKY CREDIT UNION LTD,2
CD DU CENTRE-EST DE MONTREAL,2
CAISSE POPULAIRE DE ST-BASILE LTEE,2
CAISSE DESJARDINS DES VOYAGEURS INC.,2
LAFLECHE CREDIT UNION LIMITED,2
PACE SAVINGS & CREDIT UNION LIMITED,2
VICTORY CREDIT UNION LTD,2
C.E.D. EMPLOYES MUNICIPAUX DE MTL,2
MOMENTUM CREDIT UNION LIMITED,2
C.P.D. DE SAINT-EUSEBE,2
EASTERNEDGE CREDIT UNION LIMITED,2
WESTOBA CREDIT UNION LTD,2
BEAUBEAR CREDIT UNION,2
C.D. DU COEUR DES HAUTES-LAURENTIDES,2
LEADING EDGE CREDIT UNION,2
C.P.D. DE SAINT-LEON,2
LADYSMITH & DISTRICT CREDIT UNION,2
