GUID,PROVID,PROVNAME,SDNAME,GEOTYPE,TEXTTHEME,TEXTID,HIER,INDENT,TEXTNAME,TEXTDATA,MDATA,FDATA
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12041,4.1.5.3.8,2,"    $70,000 to $79,999",25,15,5
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12042,4.1.5.3.9,2,"    $80,000 to $89,999",30,25,5
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12043,4.1.5.3.10,2,"    $90,000 to $99,999",15,15,0
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12044,4.1.5.3.11,2,"    $100,000 and over",30,30,0
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12045,4.1.5.3.11.1,3,"      $100,000 to $149,999",25,20,0
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12046,4.1.5.3.11.2,3,"      $150,000 and over",10,5,0
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12047,4.1.6,0,Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data,650,330,325
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12048,4.1.6.1,1,  Without after-tax income,20,10,10
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12049,4.1.6.2,1,  With after-tax income,630,315,315
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12050,4.1.6.3,1,  Percentage with after-tax income,96.9,95.5,96.9
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12051,4.1.6.3.1,2,"    Under $10,000 (including loss)",90,30,60
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12052,4.1.6.3.2,2,"    $10,000 to $19,999",130,40,95
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12053,4.1.6.3.3,2,"    $20,000 to $29,999",145,55,95
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12054,4.1.6.3.4,2,"    $30,000 to $39,999",90,55,35
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12055,4.1.6.3.5,2,"    $40,000 to $49,999",60,45,15
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12056,4.1.6.3.6,2,"    $50,000 to $59,999",35,30,10
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12057,4.1.6.3.7,2,"    $60,000 to $69,999",35,30,5
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12058,4.1.6.3.8,2,"    $70,000 to $79,999",15,10,0
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12059,4.1.6.3.9,2,"    $80,000 and over",30,25,0
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12060,4.1.6.3.9.1,3,"      $80,000 to $89,999",10,10,5
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12061,4.1.6.3.9.2,3,"      $90,000 to $99,999",10,10,0
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12062,4.1.6.3.9.3,3,"      $100,000 and over",10,5,0
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12063,4.1.7,0,Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data,650,325,320
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12064,4.1.7.1,1,  Without employment income,200,70,125
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12065,4.1.7.2,1,  With employment income,455,255,195
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12066,4.1.7.3,1,  Percentage with employment income,70,78.5,60.9
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12067,4.1.7.3.1,2,"    Under $5,000 (including loss)",45,20,30
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12068,4.1.7.3.2,2,"    $5,000 to $9,999",35,5,30
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12069,4.1.7.3.3,2,"    $10,000 to $19,999",75,25,50
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12070,4.1.7.3.4,2,"    $20,000 to $29,999",90,40,45
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12071,4.1.7.3.5,2,"    $30,000 to $39,999",50,30,15
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12072,4.1.7.3.6,2,"    $40,000 to $49,999",45,40,10
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12073,4.1.7.3.7,2,"    $50,000 to $59,999",30,20,5
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12074,4.1.7.3.8,2,"    $60,000 to $69,999",15,15,5
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12075,4.1.7.3.9,2,"    $70,000 to $79,999",20,15,5
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12076,4.1.7.3.10,2,"    $80,000 and over",45,35,5
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12077,4.1.7.3.10.1,3,"      $80,000 to $89,999",15,10,5
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12078,4.1.7.3.10.2,3,"      $90,000 to $99,999",5,5,0
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12079,4.1.7.3.10.3,3,"      $100,000 and over",25,20,5
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13000,4.2.1,0,Total - Income statistics in 2015 for private households by household size - 100% data,360,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13001,4.2.1.1,1,  Median total income of households in 2015 ($),53120,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13002,4.2.1.2,1,  Median after-tax income of households in 2015 ($),47061,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13003,4.2.1.2.1,2,    Total - Income statistics in 2015 for one-person private households - 100% data,125,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13004,4.2.1.2.1.1,3,      Median total income of one-person households in 2015 ($),23648,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13005,4.2.1.2.1.2,3,      Median after-tax income of one-person households in 2015 ($),23136,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13006,4.2.1.2.2,2,    Total - Income statistics in 2015 for two-or-more-person private households - 100% data,240,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13007,4.2.1.2.2.1,3,      Median total income of two-or-more-person households in 2015 ($),73216,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13008,4.2.1.2.2.2,3,      Median after-tax income of two-or-more-person households in 2015 ($),62848,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13009,4.2.2,0,Total - Income statistics in 2015 for private households by household size - 25% sample data,360,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13010,4.2.2.1,1,  Average total income of households in 2015 ($),66895,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13011,4.2.2.2,1,  Average after-tax income of households in 2015 ($),55713,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13012,4.2.2.2.1,2,    Total - Income statistics in 2015 for one-person private households - 25% sample data,110,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13013,4.2.2.2.1.1,3,      Average total income of one-person households in 2015 ($),40369,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13014,4.2.2.2.1.2,3,      Average after-tax income of one-person households in 2015 ($),33017,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13015,4.2.2.2.2,2,    Total - Income statistics in 2015 for two-or-more-person private households - 25% sample data,245,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13016,4.2.2.2.2.1,3,      Average total income of two-or-more-person households in 2015 ($),78790,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13017,4.2.2.2.2.2,3,      Average after-tax income of two-or-more-person households in 2015 ($),65890,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13018,4.2.3,0,Total - Household total income groups in 2015 for private households - 100% data,360,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13019,4.2.3.1,1,"  Under $5,000",0,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13020,4.2.3.2,1,"  $5,000 to $9,999",10,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13021,4.2.3.3,1,"  $10,000 to $14,999",10,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13022,4.2.3.4,1,"  $15,000 to $19,999",25,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13023,4.2.3.5,1,"  $20,000 to $24,999",25,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13024,4.2.3.6,1,"  $25,000 to $29,999",20,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13025,4.2.3.7,1,"  $30,000 to $34,999",25,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13026,4.2.3.8,1,"  $35,000 to $39,999",25,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13027,4.2.3.9,1,"  $40,000 to $44,999",10,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13028,4.2.3.10,1,"  $45,000 to $49,999",15,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13029,4.2.3.11,1,"  $50,000 to $59,999",20,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13030,4.2.3.12,1,"  $60,000 to $69,999",25,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13031,4.2.3.13,1,"  $70,000 to $79,999",25,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13032,4.2.3.14,1,"  $80,000 to $89,999",25,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13033,4.2.3.15,1,"  $90,000 to $99,999",25,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13034,4.2.3.16,1,"  $100,000 and over",70,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13035,4.2.3.16.1,2,"    $100,000 to $124,999",25,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13036,4.2.3.16.2,2,"    $125,000 to $149,999",20,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13037,4.2.3.16.3,2,"    $150,000 to $199,999",15,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13038,4.2.3.16.4,2,"    $200,000 and over",15,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13039,4.2.4,0,Total - Household after-tax income groups in 2015 for private households - 100% data,360,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13040,4.2.4.1,1,"  Under $5,000",5,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13041,4.2.4.2,1,"  $5,000 to $9,999",10,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13042,4.2.4.3,1,"  $10,000 to $14,999",10,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13043,4.2.4.4,1,"  $15,000 to $19,999",30,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13044,4.2.4.5,1,"  $20,000 to $24,999",30,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13045,4.2.4.6,1,"  $25,000 to $29,999",20,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13046,4.2.4.7,1,"  $30,000 to $34,999",30,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13047,4.2.4.8,1,"  $35,000 to $39,999",20,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13048,4.2.4.9,1,"  $40,000 to $44,999",15,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13049,4.2.4.10,1,"  $45,000 to $49,999",20,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13050,4.2.4.11,1,"  $50,000 to $59,999",35,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13051,4.2.4.12,1,"  $60,000 to $69,999",40,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13052,4.2.4.13,1,"  $70,000 to $79,999",30,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13053,4.2.4.14,1,"  $80,000 to $89,999",15,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13054,4.2.4.15,1,"  $90,000 to $99,999",15,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13055,4.2.4.16,1,"  $100,000 and over",45,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13056,4.2.4.16.1,2,"    $100,000 to $124,999",20,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13057,4.2.4.16.2,2,"    $125,000 to $149,999",10,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,13058,4.2.4.16.3,2,"    $150,000 and over",10,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,14000,4.3.1,0,Total - Income statistics in 2015 for economic families in private households - 100% data,235,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,14001,4.3.1.1,1,  Median total income of economic families in 2015 ($),72960,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,14002,4.3.1.2,1,  Median after-tax income of economic families in 2015 ($),62208,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,14003,4.3.1.3,1,  Average family size of economic families,2.7,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,14004,4.3.2,0,Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 100% data,125,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,14005,4.3.2.1,1,  Median total income of couple economic families without children or other relatives in 2015 ($),68949,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,14006,4.3.2.2,1,  Median after-tax income of couple economic families without children or other relatives in 2015 ($),59392,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,14007,4.3.2.3,1,  Average family size of couple economic families without children or other relatives,2,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,14008,4.3.3,0,Total - Income statistics in 2015 for couple economic families with children in private households - 100% data,60,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,14009,4.3.3.1,1,  Median total income of couple economic families with children in 2015 ($),94336,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,14010,4.3.3.2,1,  Median after-tax income of couple economic families with children in 2015 ($),80640,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,14011,4.3.3.3,1,  Average family size of couple economic families with children,4.2,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,14012,4.3.4,0,Total - Income statistics in 2015 for lone-parent economic families in private households - 100% data,35,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,14013,4.3.4.1,1,  Median total income of lone-parent economic families in 2015 ($),38272,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,14014,4.3.4.2,1,  Median after-tax income of lone-parent economic families in 2015 ($),37504,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,14015,4.3.4.3,1,  Average family size of lone-parent economic families,2.6,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,14016,4.3.5,0,Total - Income statistics in 2015 for economic families in private households - 25% sample data,245,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,14017,4.3.5.1,1,  Average total income of economic families in 2015 ($),76195,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,14018,4.3.5.2,1,  Average after-tax income of economic families in 2015 ($),63280,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,14019,4.3.6,0,Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 25% sample data,140,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,14020,4.3.6.1,1,  Average total income of couple economic families without children or other relatives in 2015 ($),80660,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,14021,4.3.6.2,1,  Average after-tax income of couple economic families without children or other relatives in 2015 ($),65112,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,14022,4.3.7,0,Total - Income statistics in 2015 for couple economic families with children in private households - 25% sample data,50,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,14023,4.3.7.1,1,  Average total income of couple economic families with children in 2015 ($),90813,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,14024,4.3.7.2,1,  Average after-tax income of couple economic families with children in 2015 ($),76111,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,14025,4.3.8,0,Total - Income statistics in 2015 for lone-parent economic families in private households - 25% sample data,50,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,14026,4.3.8.1,1,  Average total income of lone-parent economic families in 2015 ($),54715,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,14027,4.3.8.2,1,  Average after-tax income of lone-parent economic families in 2015 ($),49562,,
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,14028,4.3.9,0,Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 100% data,140,80,65
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,14029,4.3.9.1,1,  Median total income in 2015 for persons aged 15 years and over not in economic families ($),24064,36736,19904
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,14030,4.3.9.2,1,  Median after-tax income in 2015 for persons aged 15 years and over not in economic families ($),23232,31296,19520
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,14031,4.3.10,0,Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data,160,90,65
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,14032,4.3.10.1,1,  Average total income in 2015 for persons aged 15 years and over not in economic families ($),34245,43333,21964
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,14033,4.3.10.2,1,  Average after-tax income in 2015 for persons aged 15 years and over not in economic families ($),28794,34647,20884
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,14034,4.3.11,0,Total - Economic family income decile group for the population in private households - 100% data,755,380,375
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,14035,4.3.11.1,1,  In the bottom half of the distribution,495,230,260
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,14036,4.3.11.1.1,2,    In the bottom decile,80,30,45
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,14037,4.3.11.1.2,2,    In the second decile,150,60,90
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,14038,4.3.11.1.3,2,    In the third decile,70,30,35
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,14039,4.3.11.1.4,2,    In the fourth decile,95,50,40
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,14040,4.3.11.1.5,2,    In the fifth decile,100,55,40
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,14041,4.3.11.2,1,  In the top half of the distribution,270,150,120
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,14042,4.3.11.2.1,2,    In the sixth decile,80,40,40
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,14043,4.3.11.2.2,2,    In the seventh decile,55,30,25
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,14044,4.3.11.2.3,2,    In the eighth decile,50,25,25
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,14045,4.3.11.2.4,2,    In the ninth decile,55,30,25
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,14046,4.3.11.2.5,2,    In the top decile,30,20,15
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,15000,4.4.1,0,Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data,755,385,375
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,15001,4.4.1.1,1,  0 to 17 years,130,70,60
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,15002,4.4.1.1.1,2,    0 to 5 years,40,15,25
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,15003,4.4.1.2,1,  18 to 64 years,480,255,230
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,15004,4.4.1.3,1,  65 years and over,150,60,90
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,15005,4.4.2,0,"In low income based on the Low-income measure, after tax (LIM-AT)",165,70,105
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,15006,4.4.2.1,1,  0 to 17 years,40,20,20
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,15007,4.4.2.1.1,2,    0 to 5 years,15,5,10
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,15008,4.4.2.2,1,  18 to 64 years,70,30,40
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,15009,4.4.2.3,1,  65 years and over,55,20,35
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,15010,4.4.3,0,"Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)",21.9,18.2,28
